Name,Phone Number,Address,Gmail,Service,Salary per Day,Successful Serviced,Rating
Brenda Martinez,000.991.5744x3671,"10225 Daniel Canyon Apt. 033, South Tracy, LA 49450",tedwards@mason.com,Welder,1223.54,122,4.3
Jimmy Wu,873-518-6679x496,"43414 Vasquez Spur, North Leslie, TN 72188",catherinecummings@yahoo.com,Cleaner,676.48,183,3.4
Robert Martinez,(248)958-9092x35443,"6041 Hoffman Road, Stevensport, KS 30034",alicia86@trevino-smith.com,Mechanic,1248.25,483,2.2
Michael Olsen,+1-255-274-7771x1934,"2923 Melanie Dam, New Maria, HI 00945",kristi01@gmail.com,Painter,1264.37,438,2.0
Angela Daniels,001-496-271-9714x9578,"47597 Michael Roads, North Anthonyton, MN 89575",pittsgina@yahoo.com,Plumber,1195.01,176,4.5
Jamie Mcmillan,(496)931-3820x18911,"891 Pope Garden Suite 179, Christopherberg, AZ 36139",fordandrew@gmail.com,Painter,658.05,208,4.0
Meghan Roberts DVM,967-097-6500,"96335 Michael Mountains, East Madeline, MT 09808",hallmanuel@watson.net,Welder,1270.82,125,4.9
Mark Perkins,(358)787-2693x450,"7440 Alison Locks Apt. 345, West Edwardtown, LA 41275",mbailey@hotmail.com,Mechanic,856.67,493,4.5
Christopher Estrada,+1-450-105-3203x82402,"015 Matthews Mission, Morrisonmouth, HI 92530",watsonpreston@cunningham.org,Painter,316.23,418,1.6
Debbie Cole,(015)659-7111x8737,"769 Walsh Vista, Jameston, MA 96367",nbrooks@avila.com,Mason,1383.91,5,2.7
Jason Miller,569-271-9190x37639,"USS Mccoy, FPO AA 92260",lisa89@stephens.net,Mason,1117.95,133,4.3
Donald Hancock,029.329.5866,"44879 Bell Neck Suite 870, New Kimberlyport, CA 92959",djefferson@hotmail.com,AC Technician,1332.67,39,4.1
Stacy Wade,397-256-4235x752,"3120 Garcia Lights Apt. 531, West Leahchester, NM 25968",mpetty@fields.info,Welder,1061.45,344,3.8
James Cox,1890589903,"98929 Turner Parkways Suite 643, East Sydneyview, VA 21125",tkelly@gmail.com,Welder,1498.59,436,1.8
